game_name,purchase_type,avg_sentiment,review_count
Assassin’s Creed Shadows,Free copy,0.38036845682685805,105
Assassin’s Creed Shadows,Key,0.34261038941732846,248
Assassin’s Creed Shadows,Steam,0.3201111397139942,8175
