game_name,review_period,sentiment,word,importance_score
Assassin’s Creed Shadows,2025-07,NEGATIVE,play,0.05179625885919601
Assassin’s Creed Shadows,2025-07,NEGATIVE,story,0.049828603332156114
Assassin’s Creed Shadows,2025-07,NEGATIVE,like,0.04507380993720541
Assassin’s Creed Shadows,2025-07,NEGATIVE,don,0.040408882917256
Assassin’s Creed Shadows,2025-07,NEGATIVE,connect,0.03431249762146449
Assassin’s Creed Shadows,2025-07,NEGATIVE,bad,0.03287606662048906
Assassin’s Creed Shadows,2025-07,NEGATIVE,time,0.03109280477485105
Assassin’s Creed Shadows,2025-08,POSITIVE,game,0.12640907852160718
Assassin’s Creed Shadows,2025-08,POSITIVE,good,0.07352901688892562
Assassin’s Creed Shadows,2025-08,POSITIVE,great,0.058324246097477175
Assassin’s Creed Shadows,2025-08,POSITIVE,fun,0.057780997195199406
Assassin’s Creed Shadows,2025-08,POSITIVE,ac,0.05590745376363406
Assassin’s Creed Shadows,2025-08,POSITIVE,best,0.046426463108203246
Assassin’s Creed Shadows,2025-08,POSITIVE,creed,0.04334059333376039
Assassin’s Creed Shadows,2025-08,POSITIVE,story,0.040472555743909386
Assassin’s Creed Shadows,2025-08,POSITIVE,better,0.038896124496558104
Assassin’s Creed Shadows,2025-08,POSITIVE,amazing,0.0386904300383988
Assassin’s Creed Shadows,2025-08,NEGATIVE,game,0.18658794879737406
Assassin’s Creed Shadows,2025-08,NEGATIVE,story,0.08427524055480189
Assassin’s Creed Shadows,2025-08,NEGATIVE,bad,0.08344082014210714
Assassin’s Creed Shadows,2025-08,NEGATIVE,just,0.07452370351006063
Assassin’s Creed Shadows,2025-08,NEGATIVE,ubisoft,0.06034902549088619
Assassin’s Creed Shadows,2025-08,NEGATIVE,play,0.05894467159423476
Assassin’s Creed Shadows,2025-08,NEGATIVE,time,0.055776389091255055
Assassin’s Creed Shadows,2025-08,NEGATIVE,like,0.0488719140758142
Assassin’s Creed Shadows,2025-08,NEGATIVE,games,0.04593386787015451
Assassin’s Creed Shadows,2025-08,NEGATIVE,bad game,0.04358138067710745
Assassin’s Creed Shadows,2025-09,POSITIVE,game,0.11798685415639314
Assassin’s Creed Shadows,2025-09,POSITIVE,great,0.06668332973151839
Assassin’s Creed Shadows,2025-09,POSITIVE,good,0.06123344434555383
Assassin’s Creed Shadows,2025-09,POSITIVE,best,0.04845483791099113
Assassin’s Creed Shadows,2025-09,POSITIVE,great game,0.04835042858461582
Assassin’s Creed Shadows,2025-09,POSITIVE,story,0.04203808905451608
Assassin’s Creed Shadows,2025-09,POSITIVE,fun,0.04126007991051981
Assassin’s Creed Shadows,2025-09,POSITIVE,ac,0.04082031968096098
Assassin’s Creed Shadows,2025-09,POSITIVE,love,0.03733930366771605
Assassin’s Creed Shadows,2025-09,POSITIVE,like,0.036853740378282734
Assassin’s Creed Shadows,2025-09,NEGATIVE,game,0.139905186929911
Assassin’s Creed Shadows,2025-09,NEGATIVE,just,0.07926462554670514
